id;phone_id;name_id;phone_type;phone_role;phone_number;insert_date;insert_user;update_date;update_user;inactive_date;end_date;begin_date;address_id;primary_yn;display_seq;laptop_change;index_phone;extension;email_format;share_email_yn;default_confirmation_yn;email_language;mobile_audio_key_yn;country_dialing_code;valid_yn;phone_country_code;chain_code;validate_date;validate_status
1;11559;15744;barring bewitch;reassuringly;rocket;2024-05-02;1132;2024-05-01;27366;2024-05-01;2024-05-02;2024-05-01;1607;collagen jaggedly when;25962;1093;gee against;floss inhere spotlight;equatorial how ick;yippee soon;yuck over eek;item;swelter spume;30828;likewise;reconsideration;huzzah;2024-05-01;dimly separately headhunt
2;15120;5619;labourer consequently disagreement;solution harm wreak;ritualise;2024-05-01;7866;2024-05-02;23654;2024-05-02;2024-05-01;2024-05-01;6009;essential;15139;896;pish straggle;tussle uh-huh calm;sentimental hence diplomacy;drat;pocket geez;pure while;guest coaxingly;19388;joy memorialize save;quash fog relapse;tremendously;2024-05-02;vivaciously
3;1334;14532;grace inside;recklessly;ordinary insect import;2024-05-02;12074;2024-05-01;23904;2024-05-02;2024-05-01;2024-05-01;19669;sane truthfully woeful;12105;30663;exactly whoa division;that incidentally;goodwill dissuade;gosh;psst peep;sign;exemplary rosy;6583;ew seizure ouch;brr inhibitor ugh;whoever column filter;2024-05-01;gawp checking even
4;28261;24353;concerning;quirkily whenever after;aha;2024-05-02;28667;2024-05-01;17641;2024-05-01;2024-05-02;2024-05-01;29014;in;994;21984;hm how;who reassert;impressive apropos;till;wherever;terribly;aha;32506;hazard unknown experiment;geez mean smoggy;gleaming concerning concerning;2024-05-01;frown how
5;2632;21019;behind incidentally dissipate;discard esteem;scout;2024-05-01;8557;2024-05-01;14570;2024-05-01;2024-05-01;2024-05-02;7357;boldly;6328;30129;curiously since;boo;inasmuch hopeful supposing;astride although kindly;consequently hideous;embrace;bottle;29038;vengeful;who defuse snowflake;annually interestingly;2024-05-01;forenenst anenst
6;17644;22087;drat;youthfully;below ouch;2024-05-01;4354;2024-05-01;27630;2024-05-01;2024-05-01;2024-05-02;16033;fearful;24385;16233;times yuck;onto joint athwart;garrote;whorl gee;curry gosh;whereas;because while clearly;7037;till;aha;recognize modulo recant;2024-05-02;upright
7;19403;4317;inasmuch;after;hasty during;2024-05-01;11733;2024-05-01;5785;2024-05-02;2024-05-02;2024-05-01;9226;drummer;32151;30785;bubbly whether;gasp;premier wonderfully migrate;hew prosecution;furthermore;gah potentially;gosh;2223;lively ache although;huzzah notwithstanding after;cautiously seldom upliftingly;2024-05-02;boiling vagrant whereas
8;9984;4108;so;shyly;perfumed helpfully;2024-05-01;11355;2024-05-01;18846;2024-05-01;2024-05-01;2024-05-01;8069;windy royal;19343;7230;down notwithstanding athletics;button splatter;incidentally curiously dumbfound;unleash glamorous;that;ouch phooey sack;thick;27599;producer irritably outside;pinpoint;flu;2024-05-02;huzzah sightsee
9;17075;12585;ant;or vice into;as nor;2024-05-02;24197;2024-05-02;1902;2024-05-02;2024-05-02;2024-05-02;17426;basic plus bias;29020;24587;um;near;intensity;thoughtfully junker threadbare;gosh than what;medicate afore;under near so;31477;lovingly droopy;fooey yippee;cruel;2024-05-02;upward into hence
10;28682;26242;dread;um ick wherever;wearily differ;2024-05-01;16131;2024-05-01;22346;2024-05-01;2024-05-02;2024-05-01;11483;repulse testy chateau;18242;32235;once ambassador although;hyphenation beetle;boo;aw above;until replicate;swiftly treatment;apud criminal;816;until besides;smug slam oh;till faithfully ha;2024-05-01;previous and toward
