id;resort;business_date;name_id;rate_code;source_code;market_code;room_category;company_id;agent_id;group_id;source_prof_id;resv_status;trunc_begin_date;trunc_end_date;resv_name_id;quantity;physical_quantity;due_out_yn;room_resv_status;adults;children;room_adults;room_children;primary_yn;allotment_header_id;room_revenue;food_revenue;package_room_revenue;package_food_revenue;total_room_tax;total_food_tax;total_package_revenue;total_revenue;total_tax;insert_date;original_end_date;walkin_yn;reservation_date;room_class;vip_status;cancellation_date;birth_date;room;membership_id;contact_id;rate_category;market_main_group;source_main_group;channel;country;region_code;nationality;psuedo_room_yn;adults_tax_free;children_tax_free;stay_rooms;stay_persons;stay_adults;stay_children;arr_rooms;arr_persons;dep_rooms;dep_persons;day_use_rooms;day_use_persons;cancelled_rooms;cancelled_persons;no_show_rooms;no_show_persons;single_occupancy;multiple_occupancy;cribs;extra_beds;other_revenue;package_other_revenue;total_other_tax;country_main_group;state;fiscal_region_code;non_revenue;package_non_revenue;total_non_revenue_tax;pr_room_revenue;pr_food_revenue;pr_package_room_revenue;pr_package_food_revenue;pr_total_room_tax;pr_total_food_tax;pr_total_package_revenue;pr_total_revenue;pr_total_tax;pr_other_revenue;pr_package_other_revenue;pr_total_other_tax;pr_non_revenue;pr_package_non_revenue;pr_total_non_revenue_tax;nights;no_of_stays;reservation_nights;reservation_arrivals;reservation_no_of_stays;day_use_reservations;cancelled_reservations;no_show_reservations;city;zip_code;district;cash_room_nts;comp_room_nts;cash_room_revenue;comp_room_revenue;res_insert_source;res_insert_source_type;children_1;children_2;children_3;children_4;children_5;ff_membership_type;fg_membership_type;promotion_code;owner_ff_flag;owner_rental_flag;central_currency_code;central_exchange_rate;booked_room_category;business_date_created;rate_amount;parent_company_id;house_use_yn;complimentary_yn;bi_resv_name_id;adv_food_revenue;adv_non_revenue;adv_other_revenue;adv_room_revenue;adv_total_food_tax;adv_total_non_revenue_tax;adv_total_other_tax;adv_total_revenue;adv_total_room_tax;adv_total_tax;pr_adv_food_revenue;pr_adv_non_revenue;pr_adv_other_revenue;pr_adv_room_revenue;pr_adv_total_food_tax;pr_adv_total_non_revenue_tax;pr_adv_total_other_tax;pr_adv_total_revenue;pr_adv_total_room_tax;pr_adv_total_tax;upsold_revenue;flgd_room_revenue;flgd_food_revenue;flgd_non_revenue;flgd_other_revenue;flgd_total_room_tax;flgd_total_food_tax;flgd_total_non_revenue_tax;flgd_total_other_tax;flgd_total_revenue;flgd_total_tax;contact_yn;extended_stay_tier;rs_adv_total_revenue;rs_adv_room_revenue;rs_adv_food_revenue;rs_adv_other_revenue;rs_adv_non_revenue;rs_adv_total_tax;rs_adv_room_tax;rs_adv_food_tax;rs_adv_other_tax;rs_adv_non_revenue_tax;update_date;guid
1;interlace woot;2024-05-02;27490;duh pension geez;forward between duh;once;after fully;12865;85;5135;25469;who;2024-05-01;2024-05-01;2153;18280;32587;pretty;however near narrow;3791;405;831;15275;4801;1138;5957.53;24994.25;32243.3;18355.88;19442.96;25840.58;4453.31;10122.35;19377.68;2024-05-01;2024-05-01;tense;2024-05-02;where;attentive fair fan;2024-05-01;2024-05-02;whenever;27539;18766;versus bowler aside;anenst above sleepy;wetly;lest about as;Israel;concur several sometimes;however;openly;16928;6210;11267;28451;18525;11796;7915;15854;13732;21289;21025;7905;19625;31449;28734;27695;20527;9242;9141;1632;15086.7;2127.17;5106.4;square;repulsive ragged;ew nor;30742.58;19830.95;14395.07;18641.3;30666.34;15250.37;16108.87;12698.43;11844.57;26264.09;29955.73;29491.12;22547.62;4238.99;25340.92;29003.73;9102.41;6158.61;10485;5418;19816;757;25279;3820;4093;20394;Camdenfurt;22339-9158;ape gadzooks even;17462;32214;4553.14;19717.62;cat;eek;26003;11668;10054;20580;1910;however;viciously;lavish;habit so;browser trivial;ischemia excluding;11123.41;besides unfortunately;2024-05-01;13417.73;16261;rapidly;dispute seldom rotating;8264;31100.52;15280.94;1394.82;16501.81;26581.9;322.49;6316.05;1187.37;30329.37;30020.43;2003.38;30884.04;10671.59;16407.56;10413.39;10502.01;24625.35;11528.43;28920.87;1268.34;12255.62;7270.37;2263.28;15658.13;30123.23;22650.69;20281.98;14562.78;17346.62;1110.31;25900.07;scope abseil the;24799;30741.92;16949.3;21861.4;28029.38;8818.25;23198.82;13864.82;7643.96;24906.7;14889.99;2024-05-02;displease
2;consequently individual indeed;2024-05-01;23088;populate eminent;madly;after;unless gee yum;12431;14559;23887;28689;flimsy usually;2024-05-02;2024-05-01;20325;16064;2954;fervently tensely;ah uh-huh;11930;2205;4637;1379;6886;3376;1667.58;3592.73;28668.64;25989.93;2836.35;30555.44;21670.6;6983.06;1156.67;2024-05-01;2024-05-01;fully wildly;2024-05-01;behind before;harsh fooey chafe;2024-05-01;2024-05-02;nor scary zesty;3592;13395;brim above laud;binoculars except meanwhile;obedient;forecast crib;Costa Rica;gentle wildebeest;as;bloom midst unabashedly;17120;24316;20874;28280;32260;5617;28963;12478;12076;30255;24394;26174;10511;31505;32302;27782;18475;7849;21141;27570;9245.72;3661.98;19603.9;valiantly;until sturdy although;wet deficient meanwhile;4806.53;4323.28;31955.15;21820.09;27841.63;26241.83;7058.12;24323.42;8010.72;16237.73;648.54;16371.98;18612.12;27723.99;23538.15;25508.7;25568.52;6181.16;16665;25895;30136;5067;17050;3445;9422;10926;Bradtkecester;54881-6238;auction above nor;6319;6505;29681.48;5040.4;eek;and hopelessly besides;15862;24496;21521;19957;30608;blah zowie grotesque;often hopelessly;yum gracefully attack;until dome;stuff per commonly;indeed with;6423.66;across;2024-05-01;7400.83;18989;scorpion when desolate;while but glamorize;5888;2103.77;25599.93;23475.98;18109.63;2510.17;23326.65;8718.95;15869.48;32411.94;11002.05;21349.21;28432.98;5349.62;15404.18;4606;21603.08;22240.42;8683.18;13137.22;28371.75;11432.2;17890.06;15218.18;17603.09;2432.94;20392.85;13177.41;29085.69;31345.08;20485.72;537.37;amongst;25;18702.09;30177.08;2450.77;1610.3;18139.76;11464.24;23395.72;3067.07;13239.88;17355.6;2024-05-01;hmph fiercely gee
3;delayed;2024-05-01;18569;sans now;acculturate;gee interface;babyish upon;24643;29517;18816;15753;finally;2024-05-01;2024-05-01;5743;6052;18764;fooey;abaft;27942;19879;3440;23257;29906;3172;30595.07;24329.64;32370.46;12256.65;28408.01;167.07;16620.94;18999.17;15524.38;2024-05-01;2024-05-01;numb purchase;2024-05-02;arctic or;deposition potentially ultimately;2024-05-02;2024-05-01;after;19240;24345;huzzah over;supply fat;bargain real blinker;esteemed eek;Guinea;eek thorny;until next;freely;11399;11121;29293;19119;6342;26783;14374;4829;14349;7704;27336;12078;29474;19848;5025;23558;17450;5850;30518;22432;5441.88;11049.21;3582.68;blizzard yum;vendor powerless;supposing though deprecate;12591.22;12116.01;26328.56;25745.63;26933.41;1264.46;17607.43;13782.33;27882.18;12198.97;30360.9;27750.44;26966.97;22206.19;17065.96;15892.86;10668.67;19819.2;19603;2428;24798;2244;29671;5140;16601;26317;Lake Napoleonshire;09635;phooey;22508;19350;10120.92;7688.61;apropos amid vice;absent;22816;4626;20457;12482;27037;yippee once;of soon;beyond whoever elegantly;hence entertainment;yowza;discipline by rejig;23521.46;after;2024-05-01;29482.99;32474;deceivingly microblog;when till;4924;4110.65;5645.35;8950.3;12222.09;32269.12;16257.78;23419.89;7656.63;31235.41;5903.63;16512.51;18912.01;10130.58;8564.41;5331.4;11514.7;21656.82;20809.74;11283.08;23968.08;24528.8;18869.88;27051.47;12975.43;12753.52;13912.75;22162.15;1696.6;9648.6;29048.15;28714.18;vet workforce plus;2969;19239.95;19302.82;4837.86;8610.98;28278.74;18559.4;25675.61;13921.85;21440.47;9516.96;2024-05-01;heavily
4;thoughtful;2024-05-01;6737;boohoo;shrilly;blissfully gracefully righteously;conversation boo consequently;7577;43;13541;4231;uncomfortable than;2024-05-01;2024-05-01;22125;11304;16391;vigorous seldom geez;offensive;5858;12279;11641;23049;28093;24466;28776.8;17499.34;21638.78;1208.97;9135.03;23415.84;27567.35;18539.12;29871.43;2024-05-01;2024-05-01;all sweltering uh-huh;2024-05-01;ouch biff likewise;density stave;2024-05-02;2024-05-01;whoever;14140;15180;meh;during;lawful;weakly really;Virgin Islands, U.S.;after drat indeed;before total buyer;psst gadzooks;29872;21065;12762;3573;11647;21195;23755;19617;30696;5737;31086;28335;23357;9042;8271;32535;5959;5440;1017;25208;11258.58;25768.38;16487.4;tugboat sterilize hopelessly;frozen;when rusty aboard;9055.57;20242.74;2289.2;21640.47;29137.38;29323.64;7852.64;497.94;28598.87;29471.65;7733.6;11631.64;22401.52;16119.86;13597.81;15643.83;27244;2268.52;31353;26034;30831;24963;28215;22898;15799;20935;Christiansenport;27234-7249;along;4471;21723;26811.54;12428.51;mean;stroll;20166;5672;5761;14621;1816;bespatter;that geez amidst;ha gee;amused tricky;psst gadzooks;not ball lest;21592.64;anti;2024-05-02;14622.21;16655;amusement since;appeal;2632;15985.9;23309.4;9658.43;2103.53;22002.3;27037.75;29559.02;14910.55;32615.5;11029.72;18056.35;26612.36;17936.04;27529.51;24217.47;14834.46;15429.98;11396.17;1337.09;12750.23;19323.49;16469.67;8719.64;3503.28;12408.48;15965.19;4938.99;13339.45;11343.48;12962.85;15637.6;noisily;3836;7084.98;5081.6;5476.23;1897.2;15287.47;14586.01;21295.56;22761.42;26895.13;21353.41;2024-05-01;thoughtful
5;dial than apropos;2024-05-01;5426;badly;helplessly traditionalism tenderize;grubby;excitedly adventurously;560;13030;3593;26490;yahoo qua bewitched;2024-05-01;2024-05-01;3691;18168;27322;needle;apropos;4202;12208;27244;19064;6753;13750;13058.2;7899.05;32392.38;14148.01;24283.37;32655.87;1895.58;27942.41;7745.53;2024-05-01;2024-05-02;novel indeed;2024-05-01;regarding but pfft;distorted sadly boohoo;2024-05-01;2024-05-01;fine merge;25074;12193;knowingly;a;eventually;dream meanwhile;Mayotte;whoever unnecessarily;excitable;whoa;28427;23458;25124;14547;3439;19777;27056;14425;6954;7626;3697;381;12790;8083;7143;25734;2615;22396;30281;2517;32750.67;25692.75;9409.38;woot space married;capture retrospect greet;while secrecy;25219.49;10141.75;28064.69;1503.83;29270.18;19964.99;17545.17;9688.98;18365.15;23768.69;23017.21;20078.14;13668.96;30360.42;29773.08;20604.45;31022.12;23521.61;15479;28477;32051;9433;19566;14508;5080;9632;Port Mollie;68098-2909;mixed;7298;28666;28743.88;28666.9;tiny;dynasty;19599;4642;27981;12921;12617;suspiciously overlooked fearful;mediocre;at tight redhead;mockingly;ouch than;different gah since;25629.92;gratefully anchored;2024-05-01;31590.49;23391;softly;sandy circle french;5337;13937.1;9136.27;18805;22662.36;10039.26;11949.72;11869.06;30118.34;29622.42;16221.24;12634.11;13809.89;13056.75;7274.83;16226.74;29328.49;1984.62;1206.01;27204.21;12721.43;19388.99;13067.48;16871.25;18447.37;11450.69;7239.47;10258.18;31318.92;32649.04;14869.48;3130.57;pfft string mid;20413;24299.88;15767.29;28452.69;25670.95;5272.98;18556.6;23013.97;10789.41;22423.46;1273.31;2024-05-02;citizenship
6;whirlwind out;2024-05-02;25033;pink;what whose;supposing;itchy extraneous amongst;13189;30895;21373;24824;gah facilitate;2024-05-02;2024-05-01;13891;3201;18242;wheat keenly extremely;grandchild stranger announcement;30189;15191;29038;31932;20945;11202;10561.82;24947.36;23061.2;7760.59;2122.27;5148.6;29017.27;27467.08;3193.59;2024-05-01;2024-05-02;accentuate uh-huh;2024-05-01;extroverted sans male;yum hence;2024-05-01;2024-05-02;general;16330;9449;insecure ick hateful;because;amongst truthfully;meh stable;South Georgia and the South Sandwich Islands;yahoo;disambiguate eek profile;splendid;1271;22687;22004;21619;13092;12288;12284;4832;17483;868;23838;23273;25507;32070;17620;9531;3114;19737;7757;23275;6214.12;28200.88;16477.83;till;encircle for cannibal;almost;14669.67;13625.06;6929.23;616.45;4374.62;32067.84;23279.49;2492.35;1407.11;19515.07;18903.55;12336.06;13838.89;9025.99;122.42;24193.23;24771.64;10421.86;22063;21301;9923;13705;25964;27337;651;19923;Catonsville;38833;bravely;15186;25014;8392.25;3536.43;breed disagree until;orderly spark;6208;5570;14351;20701;23684;vacant relieved before;meanwhile;green how;sorrowful;yearly;sophisticated skullcap satire;28370.09;modulo happiness ack;2024-05-01;32053.26;18929;supposing itchy blissfully;likewise burglar;29724;20216.43;8984.05;27140.34;17003.69;25881.08;28336.64;11457.63;4336.58;2097.97;12649.24;15953.66;29583.51;18491.84;21242.29;10566.86;32120.38;28342.96;2708.53;135.04;29756.02;12165.44;15825.24;23101.83;15747.06;27709.76;22538.95;28653.46;7370.5;20109.39;7132.61;3449.34;maximize uselessly hmph;10208;20827.53;884.32;13978.1;17470.93;1255.48;18474.07;20765.81;5733.23;8481.82;10461.89;2024-05-01;duh highball disgrace
7;fatal happily;2024-05-01;29815;thoughtfully nonsense;of vivaciously delightfully;finally gummy;optimistically unselfish more;8238;18342;22595;27258;unhappy snoopy;2024-05-01;2024-05-02;19018;14582;5493;furthermore second;strand;18641;1182;19570;26845;6648;13522;27554.74;21717.26;10879.35;6064.76;680.21;20216.14;28279.7;26277.98;3638.93;2024-05-01;2024-05-01;mortise;2024-05-02;hopelessly loftily afterwards;meh;2024-05-01;2024-05-01;limply;24218;12582;loyalty;boohoo;flimsy bog;um slate important;Armenia;uh-huh;meow junior;soon watermelon;27275;28439;6942;30953;22360;13666;11382;22650;12369;32701;15371;27738;29587;24933;32765;18183;28047;17370;19969;14168;29253.99;2076.49;25901.52;until pushy following;zowie;from teller;947.99;4407.1;7422.76;3193.52;22387.13;21923.12;31237.49;32262.5;13075.39;28353.45;14733.43;24565;11836.46;19754.45;290.41;6036.89;11527.18;19406.87;4426;15685;11594;4725;7827;23407;7270;6692;New Julie;03548-3177;below;10558;18396;25105.81;6026.12;mine novel station-wagon;defensive meanwhile hmph;18783;25909;10968;29700;17825;fooey;exemplary rasp yippee;ick incidentally;grubby;meanwhile wherever whoa;woot woot;10744.75;optimistically agitated;2024-05-01;2855.87;16775;drat;healthily tenderly excepting;5426;25550.04;16279.57;23927.85;23988.2;12910.85;8680.51;14030.6;11378.16;3307.89;24094.35;15422.8;27403.1;14560.92;19040.8;9765.23;17431.02;3103.8;13664.06;3997.53;18787.55;9597.75;27811.24;8991.87;15074.14;22608.71;25217.65;16603.77;6265.44;19481.52;21829.5;22038.54;besides blah delirious;18053;2022.52;1604.66;10256.04;1817.69;29040.87;19649.01;3804.32;4280.29;30762.64;4052.55;2024-05-02;reveal interestingly
8;meanwhile colonialism annihilate;2024-05-02;5117;barrel;whereas swiftly;once unless ah;kindly however notwithstanding;32576;7100;8202;2163;psst woot depose;2024-05-01;2024-05-02;23300;15734;26111;alongside terrific;stage;11721;8940;2220;450;25378;13171;8407.25;8405.32;9308.57;12438.87;10616.11;31787.65;24460.17;12141.59;27485.39;2024-05-01;2024-05-01;successfully;2024-05-02;revive;excitedly once past;2024-05-02;2024-05-02;within jolt;28662;27119;after judgementally elegant;kettle yowza;while tomato pish;proctor prompt fast;Venezuela;waterskiing;restfully since below;only;24031;8528;4097;9123;3692;7947;10394;14728;10021;22832;2794;15775;27904;6046;8780;26363;24778;16527;15468;22583;5847.32;1923.49;8077.62;via;seldom;woot whoa;7842.44;18263.81;14226.63;13559.67;27888.68;24716.65;14991.5;5611.53;22235.7;10717.03;17347.14;6881.92;24862.32;29551.66;6258.02;25354.63;8323.05;6782.56;17109;10035;23531;17238;20127;5755;32173;18242;Carolyneshire;89780-0258;bowlful;18647;21651;7302.02;4661.44;even;knavishly;22713;3179;23886;27438;3519;whoa average while;squiggly crown of;er zowie gavel;paginate;ostrich;swiftly apt appliance;1539.18;fully;2024-05-01;20798.28;22026;after suborn lest;damage steward eek;4074;8699.52;7621.1;26355.79;17226.33;26843.78;7472.55;28141.32;14515;18190.13;29115.3;31729.44;20457.68;16333.64;3421.2;8126.29;2052.25;7808.88;31330.78;1592.23;11207.39;29338.43;16507.4;16977.53;23468.12;18754.86;5037.06;6209.48;18610.7;29995.84;5837.41;24610.58;realistic;21257;24557.05;1576.26;19038.7;5909.13;8529.28;25094.13;27485.3;27408.41;12797.79;11328.77;2024-05-01;out
9;subtract;2024-05-01;22692;excepting duh fulminate;phooey married bully;predecease faithfully;as;28642;17468;18933;15405;spur after;2024-05-02;2024-05-02;20815;21204;3588;deprave;until ballet many;20777;20895;12647;14464;28089;23830;8227.78;6815.27;22946.65;26917.28;27667.94;3788.65;21417.92;8313.36;13747.37;2024-05-02;2024-05-02;who whoa;2024-05-01;sledge indeed slowly;incidentally appeal;2024-05-01;2024-05-01;serpentine but inborn;32621;5200;when;dapper;whether;psst;Slovakia;towards grandiose anti;so knavishly oval;agitated aw;11091;19158;571;25902;12403;30280;7917;9044;2786;13718;2681;28524;10219;14639;10863;14685;30156;11918;23857;1225;27913.34;6582;3621.49;worriedly yum;what;badly;7951.75;21870.61;2137.54;15865.13;25895.12;9129.55;6026.61;24911.39;10415.9;20087.81;827.29;27182.2;24067.75;32169.99;27356.86;5167.44;16113.15;20677.65;27890;9908;241;8643;31004;2597;4598;23479;West Isabellshire;13355-0686;intensely eek;9699;17747;28361.58;5156.8;righteously mansard awesome;despite;30495;13958;28200;9791;28488;soil heavily positively;far for;neuropathologist within cohabit;however;consumption press;haze slug freely;5971.42;which frankly eek;2024-05-01;17217.82;16666;whenever cruelly stick;knottily;783;5300.64;25341.44;31821.48;29636.25;26007.71;21859.48;25005.04;26492.36;18987.41;24772.24;20660.26;17803.64;9185.75;3590.64;27242.75;17983.43;18034.97;16179.45;9128.95;296.73;12817.41;3409;19097.63;30120.07;10280.52;3170.12;22570.49;13975.44;13073.35;10247.93;31998.18;sardonic;22930;16280.26;17335.24;6833.72;6086.06;18620.81;9586.56;2057.6;3713.56;31314.61;8254.08;2024-05-02;until
10;incidentally;2024-05-01;9506;justly eek;woot if inflate;whiten lox hence;but elimination redact;5608;10216;27227;21052;revolution;2024-05-01;2024-05-02;20779;24697;8544;glare;writhing fooey during;13363;26408;12598;4809;20886;27665;8887.77;9560.45;17656.27;11292.16;9825.43;29973.87;19500.07;28862.22;10313.02;2024-05-01;2024-05-01;provided crazy jaggedly;2024-05-01;aside unfortunately equality;following opposite;2024-05-02;2024-05-01;kookily;29073;14306;hovercraft stot hmph;besides less mmm;at pfft;mmm for;Mongolia;out;psst gash famously;brr output opposite;29626;2042;11842;89;18672;15655;3150;26375;25479;7657;3292;10767;23604;12774;16155;3310;24174;29655;16115;8779;21113.14;31806.19;8624.32;spine;greedy;save whirlwind gah;24916.03;4141.46;1043.46;7446.65;23627.78;24718.85;6933.86;11210.53;26904.48;7045.49;393.9;4169.02;29655.34;22584.18;13419.16;23897.91;30141.04;8302.76;12629;6314;25119;8463;26391;16173;1667;6335;Kreigerside;56980-0556;policy about;20973;5642;28826.88;13213.35;countersign;tin;26591;17934;21433;18715;1840;afore populist;ratio;furlough kaleidoscopic cycle;finally squirm;pish shin;repulsive psst blame;14904.21;ready;2024-05-01;24254.92;1135;leptocephalus nearly;anywhere;11532;8666.34;15318.32;5207.56;1507.87;30782.46;18060.31;18801.97;18745.07;27584.99;18937.21;2187.06;18209.9;31314.66;2588.67;29500.68;23805.63;4933.12;31934;18770.89;18015.79;5062.29;13263.48;22207.26;16086.05;13243.51;12107.7;14299.89;27712.23;4038.15;13072.89;28942.26;fully greatly;3265;30638.95;31653.59;20290;24010.64;16115.59;10223.88;10281.16;20471.61;16889.85;32611.39;2024-05-01;impulse
